order_id,customer_id,merchant_id,product_id,order_day,order_value,device_id,address_id,payment_fp_id,round
O000317,C0000035,M0027,P000352,64,15.23,D000036,A000036,PF000036,0
O000318,C0000035,M0020,P000260,78,62.61,D000036,A000036,PF000036,0
O000319,C0000035,M0018,P000239,118,67.3,D000036,A000036,PF000036,1
O000320,C0000035,M0006,P000092,189,12.14,D000036,A000036,PF000036,4
O000321,C0000035,M0012,P000156,199,13.71,D000036,A000036,PF000036,4
O000322,C0000035,M0000,P000010,206,32.07,D000036,A000036,PF000036,4
O000323,C0000036,M0024,P000313,37,41.36,D000037,A000037,PF000037,0
O000324,C0000036,M0024,P000313,52,41.36,D000037,A000037,PF000037,0
O000325,C0000036,M0012,P000161,74,35.96,D000037,A000037,PF000037,0
O000326,C0000036,M0016,P000212,81,60.28,D000037,A000037,PF000037,0
O000327,C0000036,M0008,P000117,125,33.54,D000037,A000037,PF000037,2
O000328,C0000036,M0010,P000139,159,47.64,D000037,A000037,PF000037,3
O000329,C0000036,M0005,P000085,160,53.52,D000037,A000037,PF000037,3
O000330,C0000036,M0003,P000056,164,28.13,D000037,A000037,PF000037,3
O000331,C0000036,M0025,P000325,168,6.63,D000037,A000037,PF000037,3
O000332,C0000036,M0011,P000144,197,34.76,D000037,A000037,PF000037,4
O000333,C0000036,M0019,P000242,203,25.44,D000037,A000037,PF000037,4
O000334,C0000036,M0007,P000106,204,24.7,D000037,A000037,PF000037,4
O000335,C0000036,M0005,P000082,206,8.55,D000037,A000037,PF000037,4
O000336,C0000037,M0022,P000288,59,58.08,D000038,A000038,PF000038,0
O000337,C0000037,M0014,P000183,78,52.7,D000038,A000038,PF000038,0
O000338,C0000037,M0027,P000348,103,23.56,D000038,A000038,PF000038,1
O000339,C0000037,M0014,P000185,108,8.92,D000038,A000038,PF000038,1
O000340,C0000037,M0027,P000352,201,15.23,D000038,A000038,PF000038,4
O000341,C0000038,M0025,P000325,76,6.63,D000039,A000039,PF000039,0
O000342,C0000038,M0022,P000287,84,16.89,D000039,A000039,PF000039,0
O000343,C0000038,M0008,P000115,99,33.72,D000039,A000039,PF000039,1
O000344,C0000038,M0009,P000130,136,21.9,D000039,A000039,PF000039,2
O000345,C0000038,M0007,P000105,138,14.98,D000039,A000039,PF000039,2
O000346,C0000038,M0019,P000249,182,25.11,D000039,A000039,PF000039,4
O000347,C0000038,M0023,P000302,188,24.5,D000039,A000039,PF000039,4
O000348,C0000038,M0016,P000208,192,31.57,D000039,A000039,PF000039,4
O000349,C0000039,M0005,P000076,31,32.72,D000040,A000040,PF000040,0
O000350,C0000039,M0009,P000118,57,40.35,D000040,A000040,PF000040,0
O000351,C0000039,M0014,P000186,160,28.25,D000040,A000040,PF000040,3
O000352,C0000039,M0026,P000346,184,17.16,D000040,A000040,PF000040,4
O000353,C0000040,M0008,P000117,73,33.54,D000041,A000041,PF000041,0
O000354,C0000040,M0027,P000350,146,35.46,D000041,A000041,PF000041,2
O000355,C0000040,M0019,P000250,155,30.17,D000041,A000041,PF000041,3
O000356,C0000040,M0007,P000109,163,18.64,D000041,A000041,PF000041,3
O000357,C0000040,M0018,P000228,175,39.12,D000041,A000041,PF000041,3
O000358,C0000040,M0010,P000137,202,9.45,D000041,A000041,PF000041,4
O000359,C0000041,M0016,P000208,13,31.57,D006030,A000042,PF000042,0
