customer_id,signup_day,population_type,hard_negative_subtype,ring_id,device_id,address_id,payment_fp_id
C0000065,27,hard_negative,promo_spike,,D000066,A000066,PF000066
C0000066,63,normal,,,D000067,A000067,PF000067
C0000067,12,naive_abuse,,NA_RING0103,D006103,A000068,PF006103
C0000068,44,adaptive_abuse,,AA_RING0082,D006188,A000069,PF006188
C0000069,93,normal,,,D000070,A000070,PF000070
C0000070,64,normal,,,D000071,A000071,PF000071
C0000071,28,normal,,,D000072,A000072,PF000072
C0000072,74,adaptive_abuse,,AA_RING0022,D000073,A000073,PF000073
C0000073,50,normal,,,D000074,A000074,PF000074
C0000074,23,adaptive_abuse,,AA_RING0073,D006179,A006179,PF000075
C0000075,99,normal,,,D000076,A000076,PF000076
C0000076,93,normal,,,D000077,A000077,PF000077
C0000077,56,normal,,,D000078,A000078,PF000078
C0000078,3,normal,,,D000079,A000079,PF000079
C0000079,41,normal,,,D000080,A000080,PF000080
C0000080,51,normal,,,D000081,A000081,PF000081
C0000081,92,hard_negative,high_return_fashion,,D000082,A000082,PF000082
C0000082,73,naive_abuse,,NA_RING0025,D000083,A006025,PF006025
C0000083,22,normal,,,D000084,A000084,PF000084
C0000084,51,normal,,,D000085,A000085,PF000085
C0000085,17,normal,,,D000086,A000086,PF000086
C0000086,47,hard_negative,promo_spike,,D000087,A000087,PF000087
C0000087,53,normal,,,D000088,A000088,PF000088
C0000088,50,naive_abuse,,NA_RING0074,D000089,A000089,PF006074
C0000089,42,normal,,,D000090,A000090,PF000090
C0000090,43,normal,,,D000091,A000091,PF000091
C0000091,79,normal,,,D000092,A000092,PF000092
C0000092,50,normal,,,D000093,A000093,PF000093
C0000093,4,hard_negative,shared_household,HH0031,D006241,A006241,PF006241
C0000094,74,normal,,,D000095,A000095,PF000095
C0000095,61,normal,,,D000096,A000096,PF000096
C0000096,69,adaptive_abuse,,AA_RING0038,D006144,A006144,PF006144
C0000097,71,adaptive_abuse,,AA_RING0070,D000098,A006176,PF006176
C0000098,17,naive_abuse,,NA_RING0004,D006004,A000099,PF006004
C0000099,97,normal,,,D000100,A000100,PF000100
C0000100,99,normal,,,D000101,A000101,PF000101
C0000101,14,naive_abuse,,NA_RING0094,D000102,A006094,PF000102
C0000102,21,normal,,,D000103,A000103,PF000103
C0000103,24,normal,,,D000104,A000104,PF000104
C0000104,96,naive_abuse,,NA_RING0088,D006088,A000105,PF006088
C0000105,93,normal,,,D000106,A000106,PF000106
C0000106,26,normal,,,D000107,A000107,PF000107
C0000107,63,adaptive_abuse,,AA_RING0007,D000108,A000108,PF006113
C0000108,24,normal,,,D000109,A000109,PF000109
C0000109,3,normal,,,D000110,A000110,PF000110
C0000110,23,normal,,,D000111,A000111,PF000111
C0000111,7,normal,,,D000112,A000112,PF000112
C0000112,84,normal,,,D000113,A000113,PF000113
C0000113,78,hard_negative,promo_spike,,D000114,A000114,PF000114
C0000114,18,naive_abuse,,NA_RING0077,D006077,A006077,PF000115
C0000115,56,normal,,,D000116,A000116,PF000116
C0000116,20,normal,,,D000117,A000117,PF000117
C0000117,56,naive_abuse,,NA_RING0007,D006007,A006007,PF000118
C0000118,89,normal,,,D000119,A000119,PF000119
C0000119,87,normal,,,D000120,A000120,PF000120
C0000120,83,normal,,,D000121,A000121,PF000121
C0000121,24,normal,,,D000122,A000122,PF000122
C0000122,19,normal,,,D000123,A000123,PF000123
C0000123,16,normal,,,D000124,A000124,PF000124
C0000124,12,normal,,,D000125,A000125,PF000125
C0000125,61,normal,,,D000126,A000126,PF000126
C0000126,65,normal,,,D000127,A000127,PF000127
C0000127,88,normal,,,D000128,A000128,PF000128
C0000128,9,normal,,,D000129,A000129,PF000129
C0000129,26,normal,,,D000130,A000130,PF000130
C0000130,72,normal,,,D000131,A000131,PF000131
C0000131,68,normal,,,D000132,A000132,PF000132
C0000132,42,normal,,,D000133,A000133,PF000133
C0000133,15,normal,,,D000134,A000134,PF000134
C0000134,48,adaptive_abuse,,AA_RING0021,D006127,A000135,PF000135
C0000135,17,normal,,,D000136,A000136,PF000136
C0000136,53,naive_abuse,,NA_RING0095,D006095,A006095,PF006095
C0000137,90,adaptive_abuse,,AA_RING0014,D006120,A000138,PF000138
C0000138,19,normal,,,D000139,A000139,PF000139
C0000139,11,normal,,,D000140,A000140,PF000140
C0000140,73,naive_abuse,,NA_RING0070,D000141,A006070,PF006070
C0000141,2,normal,,,D000142,A000142,PF000142
C0000142,98,normal,,,D000143,A000143,PF000143
C0000143,77,normal,,,D000144,A000144,PF000144
C0000144,40,normal,,,D000145,A000145,PF000145
C0000145,36,normal,,,D000146,A000146,PF000146
C0000146,38,adaptive_abuse,,AA_RING0057,D000147,A006163,PF006163
C0000147,39,adaptive_abuse,,AA_RING0007,D006113,A000148,PF006113
C0000148,83,normal,,,D000149,A000149,PF000149
C0000149,79,hard_negative,high_return_fashion,,D000150,A000150,PF000150
C0000150,20,normal,,,D000151,A000151,PF000151
C0000151,17,adaptive_abuse,,AA_RING0100,D000152,A006206,PF006206
C0000152,54,normal,,,D000153,A000153,PF000153
C0000153,65,adaptive_abuse,,AA_RING0077,D006183,A000154,PF000154
C0000154,72,naive_abuse,,NA_RING0092,D000155,A000155,PF006092
C0000155,31,normal,,,D000156,A000156,PF000156
C0000156,48,normal,,,D000157,A000157,PF000157
C0000157,10,naive_abuse,,NA_RING0036,D006036,A006036,PF000158
C0000158,45,normal,,,D000159,A000159,PF000159
C0000159,68,normal,,,D000160,A000160,PF000160
C0000160,30,adaptive_abuse,,AA_RING0003,D006109,A006109,PF000161
C0000161,31,normal,,,D000162,A000162,PF000162
C0000162,46,normal,,,D000163,A000163,PF000163
C0000163,86,normal,,,D000164,A000164,PF000164
C0000164,60,normal,,,D000165,A000165,PF000165
C0000165,91,adaptive_abuse,,AA_RING0029,D006135,A006135,PF006135
C0000166,6,normal,,,D000167,A000167,PF000167
C0000167,84,normal,,,D000168,A000168,PF000168
C0000168,4,normal,,,D000169,A000169,PF000169
C0000169,32,adaptive_abuse,,AA_RING0070,D000170,A006176,PF006176
C0000170,42,normal,,,D000171,A000171,PF000171
C0000171,23,naive_abuse,,NA_RING0033,D006033,A006033,PF006033
C0000172,98,hard_negative,new_merchant_thin_history,,D000173,A000173,PF000173
C0000173,89,naive_abuse,,NA_RING0052,D006052,A000174,PF000174
C0000174,57,adaptive_abuse,,AA_RING0024,D000175,A000175,PF000175
C0000175,45,naive_abuse,,NA_RING0066,D006066,A000176,PF006066
C0000176,76,adaptive_abuse,,AA_RING0026,D000177,A000177,PF006132
C0000177,70,normal,,,D000178,A000178,PF000178
C0000178,48,hard_negative,popular_product_volume,,D000179,A000179,PF000179
C0000179,82,normal,,,D000180,A000180,PF000180
C0000180,19,normal,,,D000181,A000181,PF000181
C0000181,27,naive_abuse,,NA_RING0031,D006031,A000182,PF006031
C0000182,1,adaptive_abuse,,AA_RING0068,D000183,A000183,PF000183
C0000183,11,hard_negative,shared_household,HH0027,D000184,A006237,PF000184
C0000184,19,normal,,,D000185,A000185,PF000185
C0000185,62,normal,,,D000186,A000186,PF000186
C0000186,85,normal,,,D000187,A000187,PF000187
C0000187,59,normal,,,D000188,A000188,PF000188
C0000188,44,normal,,,D000189,A000189,PF000189
C0000189,27,normal,,,D000190,A000190,PF000190
C0000190,10,normal,,,D000191,A000191,PF000191
C0000191,58,hard_negative,shared_household,HH0028,D000192,A006238,PF006238
C0000192,14,normal,,,D000193,A000193,PF000193
C0000193,79,adaptive_abuse,,AA_RING0060,D006166,A000194,PF000194
C0000194,40,normal,,,D000195,A000195,PF000195
C0000195,35,normal,,,D000196,A000196,PF000196
C0000196,2,normal,,,D000197,A000197,PF000197
C0000197,24,normal,,,D000198,A000198,PF000198
C0000198,1,adaptive_abuse,,AA_RING0066,D006172,A006172,PF006172
C0000199,72,normal,,,D000200,A000200,PF000200
C0000200,48,normal,,,D000201,A000201,PF000201
C0000201,78,adaptive_abuse,,AA_RING0086,D006192,A006192,PF006192
C0000202,56,adaptive_abuse,,AA_RING0088,D006194,A006194,PF006194
C0000203,95,normal,,,D000204,A000204,PF000204
C0000204,78,normal,,,D000205,A000205,PF000205
C0000205,14,normal,,,D000206,A000206,PF000206
C0000206,11,normal,,,D000207,A000207,PF000207
C0000207,88,normal,,,D000208,A000208,PF000208
C0000208,26,normal,,,D000209,A000209,PF000209
C0000209,76,adaptive_abuse,,AA_RING0027,D006133,A000210,PF006133
C0000210,62,normal,,,D000211,A000211,PF000211
C0000211,70,normal,,,D000212,A000212,PF000212
C0000212,26,normal,,,D000213,A000213,PF000213
C0000213,31,naive_abuse,,NA_RING0084,D000214,A006084,PF006084
C0000214,55,normal,,,D000215,A000215,PF000215
C0000215,2,naive_abuse,,NA_RING0015,D000216,A000216,PF000216
C0000216,31,adaptive_abuse,,AA_RING0063,D006169,A000217,PF000217
C0000217,50,normal,,,D000218,A000218,PF000218
C0000218,20,normal,,,D000219,A000219,PF000219
C0000219,28,normal,,,D000220,A000220,PF000220
C0000220,98,normal,,,D000221,A000221,PF000221
C0000221,28,adaptive_abuse,,AA_RING0015,D000222,A006121,PF006121
C0000222,90,normal,,,D000223,A000223,PF000223
C0000223,92,hard_negative,shared_household,HH0013,D000224,A006223,PF000224
C0000224,67,normal,,,D000225,A000225,PF000225
C0000225,15,normal,,,D000226,A000226,PF000226
C0000226,20,normal,,,D000227,A000227,PF000227
C0000227,93,normal,,,D000228,A000228,PF000228
C0000228,0,normal,,,D000229,A000229,PF000229
C0000229,50,normal,,,D000230,A000230,PF000230
C0000230,59,normal,,,D000231,A000231,PF000231
C0000231,83,hard_negative,popular_product_volume,,D000232,A000232,PF000232
C0000232,89,normal,,,D000233,A000233,PF000233
C0000233,28,adaptive_abuse,,AA_RING0012,D006118,A000234,PF000234
C0000234,50,normal,,,D000235,A000235,PF000235
C0000235,63,normal,,,D000236,A000236,PF000236
C0000236,96,normal,,,D000237,A000237,PF000237
C0000237,55,normal,,,D000238,A000238,PF000238
C0000238,12,normal,,,D000239,A000239,PF000239
C0000239,92,normal,,,D000240,A000240,PF000240
C0000240,51,adaptive_abuse,,,D000241,A000241,PF000241
C0000241,17,normal,,,D000242,A000242,PF000242
C0000242,19,normal,,,D000243,A000243,PF000243
C0000243,20,normal,,,D000244,A000244,PF000244
C0000244,72,normal,,,D000245,A000245,PF000245
C0000245,94,normal,,,D000246,A000246,PF000246
C0000246,44,normal,,,D000247,A000247,PF000247
C0000247,9,normal,,,D000248,A000248,PF000248
C0000248,88,normal,,,D000249,A000249,PF000249
C0000249,63,adaptive_abuse,,AA_RING0001,D006107,A000250,PF006107
C0000250,57,normal,,,D000251,A000251,PF000251
C0000251,6,naive_abuse,,NA_RING0066,D006066,A006066,PF000252
C0000252,97,normal,,,D000253,A000253,PF000253
C0000253,7,normal,,,D000254,A000254,PF000254
C0000254,61,naive_abuse,,NA_RING0031,D000255,A006031,PF006031
C0000255,59,normal,,,D000256,A000256,PF000256
C0000256,51,hard_negative,promo_spike,,D000257,A000257,PF000257
C0000257,55,normal,,,D000258,A000258,PF000258
C0000258,39,normal,,,D000259,A000259,PF000259
C0000259,57,naive_abuse,,NA_RING0086,D000260,A000260,PF006086
C0000260,36,normal,,,D000261,A000261,PF000261
C0000261,47,normal,,,D000262,A000262,PF000262
C0000262,67,normal,,,D000263,A000263,PF000263
C0000263,74,normal,,,D000264,A000264,PF000264
C0000264,15,adaptive_abuse,,AA_RING0093,D006199,A000265,PF006199
C0000265,99,normal,,,D000266,A000266,PF000266
C0000266,9,normal,,,D000267,A000267,PF000267
C0000267,27,naive_abuse,,NA_RING0051,D006051,A006051,PF006051
C0000268,34,normal,,,D000269,A000269,PF000269
C0000269,32,hard_negative,popular_product_volume,,D000270,A000270,PF000270
C0000270,35,normal,,,D000271,A000271,PF000271
C0000271,32,normal,,,D000272,A000272,PF000272
C0000272,43,hard_negative,new_merchant_thin_history,,D000273,A000273,PF000273
C0000273,76,normal,,,D000274,A000274,PF000274
C0000274,82,normal,,,D000275,A000275,PF000275
C0000275,34,normal,,,D000276,A000276,PF000276
C0000276,25,hard_negative,shared_household,HH0018,D000277,A006228,PF000277
C0000277,67,naive_abuse,,NA_RING0104,D006104,A000278,PF000278
C0000278,5,normal,,,D000279,A000279,PF000279
C0000279,44,normal,,,D000280,A000280,PF000280
C0000280,22,adaptive_abuse,,AA_RING0038,D006144,A000281,PF006144
C0000281,60,normal,,,D000282,A000282,PF000282
C0000282,7,normal,,,D000283,A000283,PF000283
C0000283,82,normal,,,D000284,A000284,PF000284
C0000284,26,normal,,,D000285,A000285,PF000285
C0000285,51,naive_abuse,,NA_RING0076,D006076,A006076,PF000286
C0000286,57,hard_negative,promo_spike,,D000287,A000287,PF000287
C0000287,47,hard_negative,shared_household,HH0047,D000288,A006257,PF000288
C0000288,44,normal,,,D000289,A000289,PF000289
C0000289,26,normal,,,D000290,A000290,PF000290
C0000290,77,normal,,,D000291,A000291,PF000291
C0000291,51,normal,,,D000292,A000292,PF000292
C0000292,21,normal,,,D000293,A000293,PF000293
C0000293,26,normal,,,D000294,A000294,PF000294
C0000294,43,normal,,,D000295,A000295,PF000295
C0000295,84,normal,,,D000296,A000296,PF000296
C0000296,96,hard_negative,promo_spike,,D000297,A000297,PF000297
C0000297,38,normal,,,D000298,A000298,PF000298
C0000298,39,normal,,,D000299,A000299,PF000299
C0000299,12,hard_negative,shared_household,HH0026,D006236,A006236,PF000300
C0000300,54,hard_negative,popular_product_volume,,D000301,A000301,PF000301
C0000301,23,naive_abuse,,NA_RING0064,D006064,A006064,PF006064
C0000302,81,normal,,,D000303,A000303,PF000303
C0000303,53,naive_abuse,,NA_RING0051,D000304,A006051,PF000304
C0000304,22,normal,,,D000305,A000305,PF000305
C0000305,91,normal,,,D000306,A000306,PF000306
C0000306,81,normal,,,D000307,A000307,PF000307
C0000307,30,normal,,,D000308,A000308,PF000308
C0000308,12,normal,,,D000309,A000309,PF000309
C0000309,26,normal,,,D000310,A000310,PF000310
C0000310,37,hard_negative,high_return_fashion,,D000311,A000311,PF000311
C0000311,40,normal,,,D000312,A000312,PF000312
C0000312,82,normal,,,D000313,A000313,PF000313
C0000313,96,normal,,,D000314,A000314,PF000314
C0000314,74,normal,,,D000315,A000315,PF000315
C0000315,84,normal,,,D000316,A000316,PF000316
C0000316,12,normal,,,D000317,A000317,PF000317
C0000317,14,normal,,,D000318,A000318,PF000318
C0000318,90,hard_negative,high_return_fashion,,D000319,A000319,PF000319
C0000319,61,adaptive_abuse,,AA_RING0096,D006202,A006202,PF000320
C0000320,23,normal,,,D000321,A000321,PF000321
C0000321,79,normal,,,D000322,A000322,PF000322
C0000322,17,naive_abuse,,NA_RING0038,D006038,A006038,PF000323
C0000323,76,adaptive_abuse,,AA_RING0052,D006158,A000324,PF000324
C0000324,88,normal,,,D000325,A000325,PF000325
C0000325,48,naive_abuse,,NA_RING0018,D000326,A006018,PF006018
C0000326,65,adaptive_abuse,,AA_RING0043,D006149,A006149,PF006149
C0000327,73,hard_negative,shared_household,HH0014,D006224,A006224,PF000328
C0000328,88,normal,,,D000329,A000329,PF000329
C0000329,58,normal,,,D000330,A000330,PF000330
C0000330,29,normal,,,D000331,A000331,PF000331
C0000331,20,normal,,,D000332,A000332,PF000332
C0000332,35,normal,,,D000333,A000333,PF000333
C0000333,5,normal,,,D000334,A000334,PF000334
C0000334,69,normal,,,D000335,A000335,PF000335
C0000335,36,normal,,,D000336,A000336,PF000336
C0000336,71,naive_abuse,,NA_RING0042,D000337,A006042,PF006042
C0000337,6,normal,,,D000338,A000338,PF000338
C0000338,32,normal,,,D000339,A000339,PF000339
C0000339,39,hard_negative,new_merchant_thin_history,,D000340,A000340,PF000340
C0000340,8,naive_abuse,,NA_RING0038,D000341,A006038,PF006038
C0000341,82,adaptive_abuse,,AA_RING0045,D000342,A006151,PF006151
C0000342,59,naive_abuse,,NA_RING0014,D006014,A000343,PF006014
C0000343,84,naive_abuse,,NA_RING0029,D006029,A006029,PF000344
C0000344,80,normal,,,D000345,A000345,PF000345
C0000345,3,normal,,,D000346,A000346,PF000346
C0000346,86,normal,,,D000347,A000347,PF000347
C0000347,6,normal,,,D000348,A000348,PF000348
C0000348,87,adaptive_abuse,,AA_RING0030,D006136,A000349,PF006136
C0000349,66,normal,,,D000350,A000350,PF000350
C0000350,81,normal,,,D000351,A000351,PF000351
C0000351,49,normal,,,D000352,A000352,PF000352
C0000352,16,normal,,,D000353,A000353,PF000353
C0000353,14,normal,,,D000354,A000354,PF000354
C0000354,11,normal,,,D000355,A000355,PF000355
C0000355,80,adaptive_abuse,,AA_RING0033,D006139,A000356,PF006139
C0000356,53,normal,,,D000357,A000357,PF000357
C0000357,21,naive_abuse,,NA_RING0020,D000358,A006020,PF000358
C0000358,12,normal,,,D000359,A000359,PF000359
C0000359,7,normal,,,D000360,A000360,PF000360
C0000360,25,normal,,,D000361,A000361,PF000361
C0000361,74,naive_abuse,,NA_RING0063,D000362,A006063,PF006063
C0000362,89,normal,,,D000363,A000363,PF000363
C0000363,60,adaptive_abuse,,AA_RING0091,D006197,A006197,PF006197
C0000364,99,normal,,,D000365,A000365,PF000365
C0000365,39,normal,,,D000366,A000366,PF000366
C0000366,33,naive_abuse,,NA_RING0042,D000367,A000367,PF006042
C0000367,69,normal,,,D000368,A000368,PF000368
C0000368,13,normal,,,D000369,A000369,PF000369
C0000369,91,adaptive_abuse,,AA_RING0046,D000370,A000370,PF000370
C0000370,78,normal,,,D000371,A000371,PF000371
C0000371,3,normal,,,D000372,A000372,PF000372
C0000372,18,normal,,,D000373,A000373,PF000373
C0000373,62,normal,,,D000374,A000374,PF000374
C0000374,73,hard_negative,promo_spike,,D000375,A000375,PF000375
C0000375,21,hard_negative,shared_household,HH0008,D006218,A006218,PF000376
C0000376,74,normal,,,D000377,A000377,PF000377
C0000377,47,naive_abuse,,NA_RING0096,D000378,A006096,PF006096
C0000378,67,normal,,,D000379,A000379,PF000379
C0000379,42,normal,,,D000380,A000380,PF000380
C0000380,45,normal,,,D000381,A000381,PF000381
C0000381,38,adaptive_abuse,,AA_RING0068,D006174,A000382,PF006174
C0000382,15,normal,,,D000383,A000383,PF000383
C0000383,19,normal,,,D000384,A000384,PF000384
C0000384,16,normal,,,D000385,A000385,PF000385
C0000385,80,naive_abuse,,NA_RING0069,D006069,A006069,PF000386
C0000386,42,normal,,,D000387,A000387,PF000387
C0000387,37,normal,,,D000388,A000388,PF000388
C0000388,85,hard_negative,shared_household,HH0027,D000389,A006237,PF000389
C0000389,88,normal,,,D000390,A000390,PF000390
C0000390,23,normal,,,D000391,A000391,PF000391
C0000391,35,normal,,,D000392,A000392,PF000392
C0000392,41,normal,,,D000393,A000393,PF000393
C0000393,83,normal,,,D000394,A000394,PF000394
C0000394,67,naive_abuse,,NA_RING0074,D000395,A006074,PF006074
C0000395,54,normal,,,D000396,A000396,PF000396
C0000396,23,normal,,,D000397,A000397,PF000397
C0000397,38,adaptive_abuse,,AA_RING0075,D000398,A000398,PF006181
C0000398,2,normal,,,D000399,A000399,PF000399
C0000399,70,normal,,,D000400,A000400,PF000400
C0000400,91,adaptive_abuse,,AA_RING0024,D006130,A000401,PF000401
C0000401,78,normal,,,D000402,A000402,PF000402
C0000402,30,hard_negative,shared_household,HH0021,D000403,A006231,PF000403
C0000403,48,hard_negative,new_merchant_thin_history,,D000404,A000404,PF000404
C0000404,95,normal,,,D000405,A000405,PF000405
C0000405,42,normal,,,D000406,A000406,PF000406
C0000406,83,normal,,,D000407,A000407,PF000407
C0000407,57,normal,,,D000408,A000408,PF000408
C0000408,49,normal,,,D000409,A000409,PF000409
C0000409,58,normal,,,D000410,A000410,PF000410
C0000410,22,hard_negative,new_merchant_thin_history,,D000411,A000411,PF000411
C0000411,42,adaptive_abuse,,AA_RING0057,D000412,A006163,PF006163
C0000412,30,naive_abuse,,NA_RING0014,D006014,A000413,PF000413
C0000413,75,normal,,,D000414,A000414,PF000414
C0000414,61,normal,,,D000415,A000415,PF000415
C0000415,39,normal,,,D000416,A000416,PF000416
C0000416,82,normal,,,D000417,A000417,PF000417
C0000417,45,adaptive_abuse,,AA_RING0008,D006114,A006114,PF000418
C0000418,95,normal,,,D000419,A000419,PF000419
C0000419,60,normal,,,D000420,A000420,PF000420
C0000420,88,naive_abuse,,NA_RING0090,D000421,A006090,PF006090
C0000421,98,normal,,,D000422,A000422,PF000422
C0000422,32,normal,,,D000423,A000423,PF000423
C0000423,26,normal,,,D000424,A000424,PF000424
C0000424,83,normal,,,D000425,A000425,PF000425
C0000425,23,hard_negative,popular_product_volume,,D000426,A000426,PF000426
C0000426,75,normal,,,D000427,A000427,PF000427
C0000427,17,adaptive_abuse,,AA_RING0085,D006191,A006191,PF006191
C0000428,86,naive_abuse,,NA_RING0037,D000429,A006037,PF000429
C0000429,68,naive_abuse,,NA_RING0035,D000430,A006035,PF006035
C0000430,52,normal,,,D000431,A000431,PF000431
C0000431,44,normal,,,D000432,A000432,PF000432
C0000432,63,naive_abuse,,NA_RING0071,D006071,A000433,PF000433
C0000433,38,normal,,,D000434,A000434,PF000434
C0000434,39,normal,,,D000435,A000435,PF000435
C0000435,20,hard_negative,popular_product_volume,,D000436,A000436,PF000436
C0000436,15,normal,,,D000437,A000437,PF000437
C0000437,89,hard_negative,high_return_fashion,,D000438,A000438,PF000438
C0000438,74,adaptive_abuse,,AA_RING0037,D006143,A006143,PF006143
C0000439,44,hard_negative,shared_household,HH0032,D006242,A006242,PF000440
C0000440,83,normal,,,D000441,A000441,PF000441
C0000441,60,naive_abuse,,NA_RING0025,D006025,A006025,PF006025
C0000442,59,normal,,,D000443,A000443,PF000443
C0000443,11,hard_negative,promo_spike,,D000444,A000444,PF000444
C0000444,53,naive_abuse,,NA_RING0089,D006089,A006089,PF006089
C0000445,10,hard_negative,promo_spike,,D000446,A000446,PF000446
C0000446,68,normal,,,D000447,A000447,PF000447
C0000447,6,normal,,,D000448,A000448,PF000448
C0000448,51,normal,,,D000449,A000449,PF000449
C0000449,36,normal,,,D000450,A000450,PF000450
C0000450,13,normal,,,D000451,A000451,PF000451
C0000451,47,normal,,,D000452,A000452,PF000452
C0000452,20,normal,,,D000453,A000453,PF000453
C0000453,24,hard_negative,high_return_fashion,,D000454,A000454,PF000454
C0000454,88,adaptive_abuse,,AA_RING0051,D000455,A000455,PF000455
C0000455,34,normal,,,D000456,A000456,PF000456
C0000456,40,hard_negative,popular_product_volume,,D000457,A000457,PF000457
C0000457,0,normal,,,D000458,A000458,PF000458
C0000458,30,normal,,,D000459,A000459,PF000459
C0000459,35,normal,,,D000460,A000460,PF000460
C0000460,71,hard_negative,high_return_fashion,,D000461,A000461,PF000461
C0000461,11,adaptive_abuse,,AA_RING0033,D006139,A006139,PF006139
C0000462,92,hard_negative,shared_household,HH0028,D000463,A006238,PF000463
C0000463,12,adaptive_abuse,,AA_RING0057,D006163,A000464,PF006163
C0000464,65,adaptive_abuse,,AA_RING0040,D006146,A006146,PF000465
C0000465,0,normal,,,D000466,A000466,PF000466
C0000466,81,normal,,,D000467,A000467,PF000467
C0000467,69,normal,,,D000468,A000468,PF000468
C0000468,83,adaptive_abuse,,AA_RING0047,D000469,A006153,PF006153
C0000469,93,normal,,,D000470,A000470,PF000470
C0000470,83,normal,,,D000471,A000471,PF000471
C0000471,62,naive_abuse,,NA_RING0035,D006035,A000472,PF006035
C0000472,83,normal,,,D000473,A000473,PF000473
C0000473,9,hard_negative,shared_household,HH0046,D000474,A006256,PF000474
C0000474,64,normal,,,D000475,A000475,PF000475
C0000475,98,adaptive_abuse,,AA_RING0095,D000476,A000476,PF000476
C0000476,37,naive_abuse,,NA_RING0005,D000477,A000477,PF006005
C0000477,97,normal,,,D000478,A000478,PF000478
C0000478,50,hard_negative,popular_product_volume,,D000479,A000479,PF000479
C0000479,46,normal,,,D000480,A000480,PF000480
C0000480,30,normal,,,D000481,A000481,PF000481
C0000481,10,normal,,,D000482,A000482,PF000482
C0000482,87,naive_abuse,,NA_RING0084,D006084,A006084,PF006084
C0000483,72,normal,,,D000484,A000484,PF000484
