return_id,order_id,customer_id,return_day,reason_code,refund_amount,true_abuse_label
R000119,O000667,C0000077,122,other,40.65,0
R000120,O000689,C0000081,154,size_fit,26.65,0
R000121,O000691,C0000081,162,changed_mind,21.48,0
R000122,O000693,C0000081,186,not_as_described,83.18,0
R000123,O000695,C0000081,203,defective,44.59,0
R000124,O000698,C0000081,209,duplicate_order,34.09,0
R000125,O000700,C0000082,87,changed_mind,23.18,1
R000126,O000701,C0000082,97,changed_mind,24.96,1
R000127,O000703,C0000082,120,changed_mind,27.85,1
R000128,O000704,C0000082,139,changed_mind,29.54,1
R000129,O000706,C0000082,154,duplicate_order,6.63,1
R000130,O000707,C0000082,156,changed_mind,29.62,1
R000131,O000708,C0000082,172,changed_mind,60.28,1
R000132,O000709,C0000082,190,changed_mind,33.72,1
R000133,O000737,C0000086,156,duplicate_order,13.1,0
R000134,O000740,C0000087,71,changed_mind,25.44,0
R000135,O000748,C0000088,73,changed_mind,25.3,1
R000136,O000749,C0000088,82,changed_mind,31.84,1
R000137,O000753,C0000088,138,size_fit,28.55,1
R000138,O000755,C0000088,145,changed_mind,17.86,1
R000139,O000756,C0000088,147,changed_mind,17.86,1
R000140,O000768,C0000090,186,other,42.88,0
R000141,O000769,C0000090,199,other,30.91,0
R000142,O000779,C0000091,197,duplicate_order,34.76,0
R000143,O000781,C0000091,194,other,26.09,0
R000144,O000790,C0000092,204,not_as_described,165.23,0
R000145,O000793,C0000093,86,not_as_described,10.3,0
R000146,O000805,C0000093,209,defective,29.18,0
R000147,O000819,C0000095,175,duplicate_order,33.94,0
R000148,O000824,C0000096,143,duplicate_order,55.27,1
R000149,O000826,C0000096,194,duplicate_order,21.19,1
R000150,O000828,C0000097,75,changed_mind,13.22,1
R000151,O000829,C0000097,81,other,62.73,1
R000152,O000830,C0000097,92,changed_mind,29.18,1
R000153,O000831,C0000097,93,changed_mind,10.33,1
R000154,O000833,C0000097,104,other,6.1,1
R000155,O000837,C0000097,171,size_fit,13.57,1
R000156,O000840,C0000098,17,not_as_described,44.59,1
R000157,O000843,C0000098,113,duplicate_order,40.65,1
R000158,O000844,C0000098,128,changed_mind,23.65,1
R000159,O000846,C0000098,139,not_as_described,43.01,1
R000160,O000849,C0000098,152,changed_mind,42.88,1
R000161,O000850,C0000098,172,changed_mind,40.22,1
R000162,O000860,C0000099,183,other,20.66,0
R000163,O000872,C0000101,41,changed_mind,25.48,1
R000164,O000876,C0000101,89,changed_mind,19.13,1
R000165,O000879,C0000101,162,duplicate_order,14.98,1
R000166,O000881,C0000101,165,duplicate_order,40.35,1
R000167,O000884,C0000101,207,changed_mind,52.7,1
R000168,O000886,C0000102,42,other,18.32,0
R000169,O000894,C0000103,56,changed_mind,34.09,0
R000170,O000902,C0000104,118,changed_mind,23.55,1
R000171,O000906,C0000104,179,changed_mind,14.61,1
R000172,O000909,C0000104,184,changed_mind,70.86,1
R000173,O000916,C0000105,120,other,9.72,0
R000174,O000919,C0000105,209,defective,13.57,0
R000175,O000929,C0000107,81,changed_mind,21.19,1
R000176,O000930,C0000107,102,changed_mind,24.96,1
R000177,O000933,C0000107,111,changed_mind,10.3,1
R000178,O000934,C0000107,117,size_fit,61.65,1
R000179,O000936,C0000107,180,duplicate_order,19.51,1
R000180,O000952,C0000109,141,not_as_described,21.87,0
R000181,O000963,C0000110,171,defective,39.78,0
R000182,O000964,C0000110,165,changed_mind,23.55,0
R000183,O000981,C0000113,119,size_fit,40.65,0
R000184,O000983,C0000113,123,duplicate_order,30.91,0
R000185,O000986,C0000113,147,size_fit,19.13,0
R000186,O000994,C0000114,119,changed_mind,59.8,1
R000187,O000995,C0000114,133,duplicate_order,9.31,1
R000188,O000996,C0000114,148,defective,18.48,1
R000189,O000998,C0000114,209,changed_mind,15.37,1
R000190,O001002,C0000115,92,defective,22.76,0
R000191,O001015,C0000116,116,not_as_described,29.96,0
R000192,O001020,C0000116,206,defective,21.24,0
R000193,O001022,C0000117,112,duplicate_order,8.68,1
R000194,O001025,C0000117,127,changed_mind,8.92,1
R000195,O001026,C0000117,136,duplicate_order,23.26,1
R000196,O001029,C0000117,178,not_as_described,32.67,1
R000197,O001033,C0000118,144,defective,17.25,0
R000198,O001043,C0000120,97,changed_mind,35.95,0
R000199,O001044,C0000120,114,duplicate_order,30.09,0
R000200,O001091,C0000124,104,size_fit,29.12,0
R000201,O001096,C0000124,209,size_fit,24.74,0
R000202,O001104,C0000125,200,other,6.63,0
R000203,O001108,C0000126,140,other,17.21,0
R000204,O001132,C0000128,135,other,50.41,0
R000205,O001134,C0000128,157,size_fit,13.83,0
R000206,O001164,C0000131,198,changed_mind,40.65,0
R000207,O001180,C0000134,64,duplicate_order,20.04,1
R000208,O001183,C0000134,101,changed_mind,15.99,1
R000209,O001185,C0000134,192,defective,10.74,1
R000210,O001195,C0000135,183,not_as_described,49.54,0
R000211,O001202,C0000136,82,changed_mind,38.23,1
R000212,O001204,C0000136,119,changed_mind,10.74,1
R000213,O001205,C0000136,119,changed_mind,27.85,1
R000214,O001206,C0000136,130,changed_mind,21.03,1
R000215,O001207,C0000136,142,changed_mind,40.05,1
R000216,O001208,C0000136,156,defective,24.51,1
R000217,O001210,C0000136,209,other,26.21,1
R000218,O001212,C0000137,100,size_fit,16.56,1
R000219,O001213,C0000137,113,changed_mind,8.46,1
R000220,O001215,C0000137,139,not_as_described,5.47,1
R000221,O001216,C0000137,168,size_fit,32.02,1
R000222,O001221,C0000137,203,defective,39.78,1
R000223,O001230,C0000139,26,size_fit,27.61,0
R000224,O001231,C0000139,49,size_fit,53.52,0
R000225,O001243,C0000139,198,defective,28.96,0
R000226,O001247,C0000139,209,not_as_described,19.22,0
R000227,O001248,C0000140,81,defective,26.35,1
R000228,O001249,C0000140,124,changed_mind,47.64,1
R000229,O001250,C0000140,122,changed_mind,12.26,1
R000230,O001254,C0000140,157,changed_mind,17.94,1
R000231,O001255,C0000140,163,changed_mind,6.63,1
R000232,O001257,C0000140,198,changed_mind,33.72,1
R000233,O001274,C0000143,120,not_as_described,43.88,0
R000234,O001283,C0000144,112,size_fit,37.31,0
R000235,O001300,C0000146,82,changed_mind,17.42,1
R000236,O001301,C0000146,150,not_as_described,17.42,1
R000237,O001309,C0000147,41,size_fit,13.3,1
R000238,O001316,C0000147,195,defective,24.7,1
R000239,O001328,C0000149,111,changed_mind,14.98,0
R000240,O001330,C0000149,115,not_as_described,7.43,0
R000241,O001332,C0000149,162,defective,36.57,0
R000242,O001333,C0000149,154,changed_mind,12.6,0
R000243,O001335,C0000149,159,defective,23.26,0
R000244,O001337,C0000149,178,size_fit,18.48,0
R000245,O001342,C0000149,205,changed_mind,18.48,0
R000246,O001343,C0000149,209,defective,24.7,0
R000247,O001355,C0000151,28,size_fit,31.18,1
R000248,O001356,C0000151,32,changed_mind,10.3,1
R000249,O001357,C0000151,45,not_as_described,67.3,1
R000250,O001358,C0000151,48,changed_mind,16.71,1
R000251,O001360,C0000151,65,changed_mind,27.61,1
R000252,O001362,C0000151,119,not_as_described,34.09,1
R000253,O001364,C0000151,146,not_as_described,6.37,1
R000254,O001377,C0000153,80,changed_mind,19.98,1
R000255,O001380,C0000153,109,changed_mind,16.57,1
R000256,O001381,C0000153,110,changed_mind,17.94,1
R000257,O001382,C0000153,160,defective,33.54,1
R000258,O001389,C0000154,157,changed_mind,33.72,1
R000259,O001391,C0000154,184,changed_mind,23.31,1
R000260,O001392,C0000154,202,changed_mind,60.28,1
R000261,O001393,C0000154,208,size_fit,10.75,1
R000262,O001412,C0000157,26,changed_mind,40.57,1
R000263,O001413,C0000157,58,changed_mind,39.78,1
R000264,O001414,C0000157,61,changed_mind,45.94,1
R000265,O001415,C0000157,66,not_as_described,17.95,1
R000266,O001416,C0000157,69,changed_mind,10.48,1
R000267,O001417,C0000157,111,other,14.65,1
R000268,O001418,C0000157,149,changed_mind,38.86,1
R000269,O001419,C0000157,169,duplicate_order,51.92,1
R000270,O001420,C0000157,173,defective,9.38,1
R000271,O001428,C0000159,104,defective,10.25,0
R000272,O001435,C0000160,74,not_as_described,24.96,1
R000273,O001436,C0000160,103,duplicate_order,29.96,1
R000274,O001437,C0000160,116,duplicate_order,10.3,1
R000275,O001438,C0000160,120,size_fit,24.35,1
R000276,O001450,C0000161,180,other,37.02,0
R000277,O001453,C0000162,90,duplicate_order,47.64,0
R000278,O001460,C0000163,104,size_fit,7.67,0
R000279,O001462,C0000163,104,defective,37.02,0
R000280,O001479,C0000164,205,changed_mind,73.86,0
R000281,O001480,C0000164,209,changed_mind,29.54,0
R000282,O001482,C0000165,103,changed_mind,29.12,1
R000283,O001483,C0000165,108,changed_mind,58.13,1
R000284,O001484,C0000165,113,defective,30.88,1
R000285,O001486,C0000165,119,changed_mind,32.09,1
R000286,O001488,C0000165,145,not_as_described,7.43,1
R000287,O001528,C0000169,79,changed_mind,5.83,1
R000288,O001530,C0000169,97,changed_mind,44.0,1
R000289,O001531,C0000169,101,size_fit,62.73,1
R000290,O001532,C0000169,102,changed_mind,41.36,1
R000291,O001533,C0000169,102,changed_mind,35.57,1
R000292,O001537,C0000170,72,changed_mind,11.78,0
R000293,O001542,C0000170,138,size_fit,15.62,0
R000294,O001544,C0000170,141,not_as_described,43.01,0
R000295,O001548,C0000171,27,not_as_described,23.42,1
R000296,O001549,C0000171,30,duplicate_order,31.84,1
R000297,O001550,C0000171,44,duplicate_order,24.01,1
R000298,O001553,C0000171,114,changed_mind,29.12,1
R000299,O001554,C0000171,137,not_as_described,14.01,1
R000300,O001555,C0000171,154,not_as_described,20.35,1
R000301,O001558,C0000171,178,changed_mind,24.51,1
R000302,O001559,C0000171,182,size_fit,4.14,1
R000303,O001564,C0000172,143,not_as_described,11.11,0
R000304,O001580,C0000173,93,changed_mind,21.74,1
R000305,O001585,C0000173,125,changed_mind,6.63,1
R000306,O001586,C0000173,128,changed_mind,22.66,1
R000307,O001591,C0000173,182,changed_mind,39.49,1
R000308,O001592,C0000174,116,changed_mind,26.35,1
R000309,O001600,C0000175,73,duplicate_order,10.15,1
R000310,O001602,C0000175,116,defective,8.55,1
R000311,O001608,C0000176,82,changed_mind,61.65,1
R000312,O001614,C0000176,183,changed_mind,18.64,1
R000313,O001615,C0000176,187,duplicate_order,28.74,1
R000314,O001616,C0000176,207,defective,35.57,1
R000315,O001630,C0000178,128,other,21.92,0
R000316,O001647,C0000179,209,duplicate_order,19.22,0
R000317,O001653,C0000181,38,defective,23.06,1
R000318,O001654,C0000181,39,changed_mind,26.65,1
R000319,O001657,C0000181,139,size_fit,23.55,1
R000320,O001658,C0000181,154,changed_mind,23.56,1
R000321,O001659,C0000181,171,other,19.16,1
R000322,O001660,C0000181,201,changed_mind,35.25,1
R000323,O001661,C0000181,207,not_as_described,12.6,1
R000324,O001664,C0000182,70,changed_mind,18.51,1
R000325,O001675,C0000185,143,defective,58.29,0
R000326,O001695,C0000188,143,duplicate_order,23.16,0
R000327,O001717,C0000191,94,duplicate_order,24.7,0
R000328,O001722,C0000191,165,not_as_described,14.94,0
R000329,O001733,C0000193,89,size_fit,19.79,1
R000330,O001734,C0000193,99,changed_mind,25.02,1
R000331,O001735,C0000193,107,changed_mind,41.98,1
R000332,O001736,C0000193,108,changed_mind,29.18,1
R000333,O001737,C0000193,116,changed_mind,24.5,1
R000334,O001788,C0000198,92,changed_mind,39.12,1
R000335,O001789,C0000198,119,changed_mind,7.94,1
R000336,O001800,C0000199,122,changed_mind,16.14,0
R000337,O001816,C0000201,119,size_fit,32.72,1
R000338,O001821,C0000201,161,duplicate_order,18.17,1
R000339,O001824,C0000201,169,defective,39.78,1
R000340,O001827,C0000201,209,defective,5.27,1
R000341,O001828,C0000202,62,changed_mind,28.36,1
R000342,O001829,C0000202,92,duplicate_order,59.32,1
R000343,O001843,C0000203,191,other,5.83,0
R000344,O001859,C0000206,49,duplicate_order,10.08,0
R000345,O001860,C0000206,40,size_fit,30.39,0
R000346,O001866,C0000207,116,defective,17.17,0
R000347,O001873,C0000207,176,defective,24.51,0
R000348,O001888,C0000209,79,changed_mind,33.54,1
R000349,O001890,C0000209,93,changed_mind,34.09,1
R000350,O001891,C0000209,110,changed_mind,34.73,1
R000351,O001892,C0000209,137,other,9.99,1
R000352,O001918,C0000212,183,changed_mind,21.9,0
R000353,O001923,C0000213,63,not_as_described,24.96,1
R000354,O001925,C0000213,98,size_fit,28.96,1
R000355,O001927,C0000213,161,changed_mind,48.43,1
R000356,O001928,C0000213,186,changed_mind,18.63,1
R000357,O001932,C0000214,105,changed_mind,36.1,0
R000358,O001940,C0000215,17,size_fit,23.55,1
R000359,O001943,C0000215,44,not_as_described,59.89,1
R000360,O001944,C0000215,49,duplicate_order,27.05,1
R000361,O001946,C0000215,113,changed_mind,9.77,1
R000362,O001947,C0000215,117,duplicate_order,6.37,1
R000363,O001948,C0000215,204,changed_mind,12.36,1
R000364,O001964,C0000218,91,changed_mind,21.69,0
R000365,O001966,C0000218,134,other,22.54,0
R000366,O001970,C0000218,196,not_as_described,67.3,0
R000367,O001971,C0000219,41,not_as_described,22.55,0
R000368,O001987,C0000221,35,changed_mind,32.27,1
R000369,O001989,C0000221,78,changed_mind,20.66,1
R000370,O001991,C0000221,101,duplicate_order,19.67,1
R000371,O001997,C0000221,209,not_as_described,23.27,1
R000372,O001999,C0000222,134,defective,8.92,0
R000373,O002005,C0000223,123,defective,34.76,0
R000374,O002008,C0000223,141,not_as_described,16.57,0
R000375,O002027,C0000224,200,other,22.66,0
R000376,O002046,C0000227,187,defective,27.95,0
R000377,O002047,C0000227,209,changed_mind,10.15,0
R000378,O002057,C0000228,123,changed_mind,16.89,0
R000379,O002060,C0000228,152,duplicate_order,27.4,0
R000380,O002089,C0000232,137,size_fit,10.48,0
R000381,O002094,C0000233,91,changed_mind,17.86,1
R000382,O002095,C0000233,101,changed_mind,26.72,1
R000383,O002096,C0000233,113,changed_mind,22.55,1
R000384,O002099,C0000233,209,not_as_described,16.57,1
R000385,O002142,C0000240,88,changed_mind,41.98,1
R000386,O002143,C0000240,100,changed_mind,18.63,1
R000387,O002145,C0000240,102,changed_mind,32.7,1
R000388,O002146,C0000240,107,changed_mind,29.0,1
R000389,O002147,C0000240,110,duplicate_order,83.18,1
R000390,O002157,C0000241,163,other,5.83,0
R000391,O002175,C0000244,138,changed_mind,11.11,0
R000392,O002177,C0000244,174,changed_mind,21.25,0
R000393,O002186,C0000245,135,defective,16.56,0
R000394,O002212,C0000248,151,defective,20.82,0
R000395,O002214,C0000248,180,not_as_described,31.02,0
R000396,O002219,C0000249,71,changed_mind,35.57,1
R000397,O002220,C0000249,107,changed_mind,27.85,1
R000398,O002221,C0000249,107,changed_mind,9.11,1
R000399,O002223,C0000249,149,duplicate_order,19.13,1
R000400,O002225,C0000249,149,changed_mind,19.13,1
R000401,O002227,C0000249,170,defective,24.7,1
R000402,O002228,C0000249,162,changed_mind,10.75,1
R000403,O002231,C0000249,191,other,21.48,1
R000404,O002238,C0000250,104,changed_mind,29.96,0
R000405,O002245,C0000251,16,duplicate_order,20.04,1
R000406,O002246,C0000251,68,defective,21.06,1
R000407,O002247,C0000251,140,changed_mind,41.98,1
R000408,O002248,C0000251,141,size_fit,9.77,1
R000409,O002250,C0000251,165,changed_mind,18.74,1
R000410,O002253,C0000251,196,changed_mind,23.26,1
R000411,O002255,C0000252,117,duplicate_order,21.25,0
R000412,O002276,C0000254,62,not_as_described,32.67,1
R000413,O002282,C0000254,141,duplicate_order,10.56,1
R000414,O002284,C0000254,174,changed_mind,30.88,1
R000415,O002298,C0000256,152,not_as_described,14.01,0
R000416,O002318,C0000259,88,changed_mind,9.11,1
R000417,O002320,C0000259,132,other,58.73,1
R000418,O002321,C0000259,134,changed_mind,30.08,1
R000419,O002323,C0000259,169,duplicate_order,58.73,1
R000420,O002324,C0000259,179,changed_mind,20.29,1
R000421,O002335,C0000261,113,changed_mind,19.03,0
R000422,O002360,C0000264,76,changed_mind,22.55,1
R000423,O002361,C0000264,98,not_as_described,30.09,1
R000424,O002364,C0000264,115,changed_mind,15.63,1
R000425,O002366,C0000264,153,defective,16.18,1
R000426,O002374,C0000265,125,duplicate_order,28.96,0
R000427,O002389,C0000267,36,changed_mind,11.78,1
R000428,O002390,C0000267,47,duplicate_order,45.94,1
R000429,O002391,C0000267,58,changed_mind,14.01,1
R000430,O002392,C0000267,62,changed_mind,27.61,1
R000431,O002394,C0000267,102,changed_mind,22.4,1
R000432,O002395,C0000267,111,changed_mind,18.63,1
R000433,O002396,C0000267,183,changed_mind,70.86,1
R000434,O002410,C0000269,85,not_as_described,25.44,0
R000435,O002413,C0000269,127,defective,21.92,0
R000436,O002427,C0000271,114,other,31.85,0
R000437,O002429,C0000271,165,changed_mind,15.88,0
R000438,O002444,C0000272,186,defective,51.92,0
R000439,O002461,C0000274,111,size_fit,5.27,0
R000440,O002470,C0000275,57,defective,47.16,0
R000441,O002477,C0000276,84,size_fit,10.8,0
R000442,O002485,C0000276,156,changed_mind,47.64,0
R000443,O002487,C0000276,204,not_as_described,13.57,0
R000444,O002492,C0000277,129,changed_mind,12.89,1
R000445,O002493,C0000277,136,changed_mind,19.16,1
R000446,O002494,C0000277,145,changed_mind,30.04,1
R000447,O002495,C0000277,144,changed_mind,23.65,1
R000448,O002497,C0000277,159,changed_mind,28.21,1
R000449,O002498,C0000277,167,duplicate_order,23.06,1
R000450,O002499,C0000277,171,changed_mind,10.15,1
R000451,O002500,C0000277,183,defective,30.88,1
R000452,O002501,C0000277,190,size_fit,35.96,1
R000453,O002515,C0000279,179,defective,19.16,0
R000454,O002522,C0000280,40,other,12.6,1
R000455,O002523,C0000280,54,other,29.96,1
R000456,O002524,C0000280,58,changed_mind,21.71,1
R000457,O002525,C0000280,71,changed_mind,42.88,1
R000458,O002526,C0000280,72,defective,30.09,1
R000459,O002527,C0000280,80,defective,19.22,1
R000460,O002528,C0000280,81,changed_mind,41.98,1
R000461,O002529,C0000280,89,size_fit,23.31,1
R000462,O002530,C0000280,111,changed_mind,23.3,1
R000463,O002534,C0000280,203,changed_mind,12.89,1
R000464,O002535,C0000280,209,duplicate_order,16.18,1
R000465,O002563,C0000285,89,size_fit,21.69,1
R000466,O002564,C0000285,102,changed_mind,13.66,1
R000467,O002565,C0000285,152,changed_mind,32.7,1
R000468,O002567,C0000285,166,changed_mind,12.63,1
R000469,O002608,C0000289,209,not_as_described,14.01,0
R000470,O002615,C0000290,202,defective,23.26,0
R000471,O002625,C0000292,143,not_as_described,18.48,0
R000472,O002653,C0000296,181,size_fit,27.95,0
R000473,O002654,C0000296,194,changed_mind,20.95,0
R000474,O002690,C0000299,191,size_fit,55.83,0
R000475,O002698,C0000300,152,duplicate_order,25.44,0
R000476,O002706,C0000301,51,changed_mind,16.89,1
R000477,O002709,C0000301,113,changed_mind,35.86,1
R000478,O002712,C0000301,205,changed_mind,28.13,1
R000479,O002713,C0000301,209,changed_mind,20.08,1
R000480,O002719,C0000302,161,other,23.31,0
R000481,O002725,C0000303,109,size_fit,18.63,1
R000482,O002728,C0000303,160,changed_mind,9.62,1
R000483,O002730,C0000303,188,other,9.99,1
R000484,O002738,C0000305,140,defective,8.46,0
R000485,O002771,C0000309,110,changed_mind,10.15,0
R000486,O002775,C0000309,195,other,38.86,0
R000487,O002778,C0000310,89,other,51.92,0
R000488,O002780,C0000310,108,size_fit,27.61,0
R000489,O002781,C0000310,133,duplicate_order,18.89,0
R000490,O002782,C0000310,145,duplicate_order,14.94,0
R000491,O002801,C0000313,155,duplicate_order,44.0,0
R000492,O002807,C0000314,186,defective,165.23,0
R000493,O002811,C0000314,209,size_fit,25.11,0
R000494,O002815,C0000315,105,not_as_described,10.48,0
R000495,O002830,C0000317,199,not_as_described,12.91,0
R000496,O002833,C0000318,121,other,19.17,0
R000497,O002840,C0000318,166,other,18.17,0
R000498,O002841,C0000318,207,other,58.08,0
R000499,O002843,C0000318,209,size_fit,10.48,0
R000500,O002844,C0000319,86,other,9.62,1
R000501,O002845,C0000319,115,changed_mind,13.56,1
R000502,O002855,C0000320,164,size_fit,22.66,0
R000503,O002861,C0000322,52,changed_mind,13.66,1
R000504,O002862,C0000322,70,changed_mind,32.27,1
R000505,O002864,C0000322,135,changed_mind,19.22,1
R000506,O002865,C0000322,143,changed_mind,31.45,1
R000507,O002866,C0000322,152,duplicate_order,50.83,1
R000508,O002867,C0000322,170,not_as_described,33.54,1
R000509,O002868,C0000322,188,changed_mind,23.18,1
R000510,O002869,C0000322,195,changed_mind,13.57,1
R000511,O002871,C0000323,108,other,24.99,1
R000512,O002874,C0000323,163,not_as_described,17.94,1
R000513,O002878,C0000323,209,duplicate_order,17.21,1
R000514,O002889,C0000325,57,changed_mind,21.69,1
R000515,O002892,C0000325,83,changed_mind,24.51,1
R000516,O002893,C0000325,95,changed_mind,27.27,1
R000517,O002895,C0000325,118,other,19.22,1
R000518,O002896,C0000325,120,changed_mind,6.63,1
R000519,O002897,C0000325,136,other,27.34,1
R000520,O002900,C0000325,173,changed_mind,8.68,1
R000521,O002901,C0000325,182,changed_mind,19.22,1
R000522,O002903,C0000325,183,defective,58.08,1
R000523,O002905,C0000325,194,not_as_described,14.39,1
R000524,O002906,C0000325,198,changed_mind,83.18,1
R000525,O002907,C0000326,79,changed_mind,25.44,1
R000526,O002908,C0000326,90,changed_mind,28.74,1
R000527,O002909,C0000326,102,not_as_described,86.13,1
R000528,O002910,C0000326,101,changed_mind,30.39,1
R000529,O002918,C0000326,193,duplicate_order,32.72,1
