product_id,merchant_id,category,price,popularity_tier,defect_prone
P000165,M0012,grocery,13.39,low,False
P000166,M0012,grocery,30.91,low,False
P000167,M0013,home,83.18,low,False
P000168,M0013,home,15.61,medium,False
P000169,M0013,home,14.39,low,False
P000170,M0013,home,25.3,low,False
P000171,M0013,home,38.23,low,False
P000172,M0013,home,34.09,low,False
P000173,M0013,home,23.55,low,False
P000174,M0014,sports,10.25,medium,False
P000175,M0014,sports,21.08,high,False
P000176,M0014,sports,12.26,medium,False
P000177,M0014,sports,37.66,medium,False
P000178,M0014,sports,14.84,medium,False
P000179,M0014,sports,11.78,low,False
P000180,M0014,sports,9.11,low,False
P000181,M0014,sports,17.95,high,False
P000182,M0014,sports,8.46,low,False
P000183,M0014,sports,52.7,low,False
P000184,M0014,sports,33.94,medium,True
P000185,M0014,sports,8.92,low,False
P000186,M0014,sports,28.25,medium,False
P000187,M0015,toys,15.12,medium,False
P000188,M0015,toys,28.36,low,False
P000189,M0015,toys,18.83,low,False
P000190,M0015,toys,16.91,low,False
P000191,M0015,toys,19.16,medium,False
P000192,M0015,toys,5.77,low,False
P000193,M0015,toys,19.24,low,False
P000194,M0015,toys,20.66,medium,False
P000195,M0015,toys,34.73,low,False
P000196,M0015,toys,37.32,high,False
P000197,M0015,toys,20.04,low,False
P000198,M0015,toys,8.68,low,False
P000199,M0015,toys,74.34,low,False
P000200,M0015,toys,12.65,low,True
P000201,M0015,toys,14.56,medium,False
P000202,M0016,beauty,8.89,medium,False
P000203,M0016,beauty,19.98,medium,False
P000204,M0016,beauty,9.31,high,False
P000205,M0016,beauty,5.27,low,False
P000206,M0016,beauty,15.99,low,False
P000207,M0016,beauty,30.25,medium,False
P000208,M0016,beauty,31.57,medium,False
P000209,M0016,beauty,40.05,low,False
P000210,M0016,beauty,17.94,medium,False
P000211,M0016,beauty,18.89,low,False
P000212,M0016,beauty,60.28,medium,False
P000213,M0016,beauty,29.62,low,True
P000214,M0017,fashion,6.35,low,True
P000215,M0017,fashion,6.1,low,False
P000216,M0017,fashion,21.74,low,False
P000217,M0017,fashion,13.22,low,False
P000218,M0017,fashion,13.66,low,False
P000219,M0017,fashion,21.48,low,True
P000220,M0017,fashion,37.37,medium,True
P000221,M0017,fashion,21.62,low,False
P000222,M0017,fashion,37.02,medium,False
P000223,M0017,fashion,23.16,low,False
P000224,M0017,fashion,9.99,medium,False
P000225,M0018,beauty,38.88,low,False
P000226,M0018,beauty,32.09,low,True
P000227,M0018,beauty,21.92,high,True
P000228,M0018,beauty,39.12,low,False
P000229,M0018,beauty,6.37,low,False
P000230,M0018,beauty,13.3,medium,True
P000231,M0018,beauty,42.88,medium,False
P000232,M0018,beauty,19.63,medium,False
P000233,M0018,beauty,20.5,low,False
P000234,M0018,beauty,71.6,low,False
P000235,M0018,beauty,40.98,medium,False
P000236,M0018,beauty,51.92,low,False
P000237,M0018,beauty,35.95,low,False
P000238,M0018,beauty,25.79,low,False
P000239,M0018,beauty,67.3,medium,False
P000240,M0018,beauty,28.59,low,False
P000241,M0019,home,27.71,medium,False
P000242,M0019,home,25.44,high,True
P000243,M0019,home,23.39,high,False
P000244,M0019,home,24.7,medium,False
P000245,M0019,home,21.72,medium,False
P000246,M0019,home,15.68,low,False
P000247,M0019,home,31.02,medium,True
P000248,M0019,home,44.59,low,False
P000249,M0019,home,25.11,medium,False
P000250,M0019,home,30.17,medium,False
P000251,M0020,toys,22.66,high,False
P000252,M0020,toys,27.95,low,False
P000253,M0020,toys,28.55,low,False
P000254,M0020,toys,29.57,low,False
P000255,M0020,toys,28.9,high,False
P000256,M0020,toys,58.13,medium,False
P000257,M0020,toys,12.22,low,False
P000258,M0020,toys,24.96,low,False
P000259,M0020,toys,50.83,medium,False
P000260,M0020,toys,62.61,low,False
P000261,M0020,toys,15.62,medium,False
P000262,M0020,toys,57.77,medium,True
P000263,M0020,toys,76.94,low,False
P000264,M0020,toys,23.2,low,False
P000265,M0020,toys,165.23,low,False
P000266,M0020,toys,43.88,high,False
P000267,M0020,toys,42.32,low,False
P000268,M0021,grocery,24.74,low,False
P000269,M0021,grocery,7.67,high,False
P000270,M0021,grocery,10.33,medium,False
P000271,M0021,grocery,16.18,low,False
P000272,M0021,grocery,19.22,low,False
P000273,M0021,grocery,29.0,low,False
P000274,M0021,grocery,25.48,low,False
P000275,M0021,grocery,24.35,low,False
P000276,M0021,grocery,24.12,high,False
P000277,M0021,grocery,12.6,high,False
P000278,M0021,grocery,29.18,low,False
P000279,M0021,grocery,5.47,medium,False
P000280,M0021,grocery,17.56,low,False
P000281,M0021,grocery,20.35,medium,False
P000282,M0022,books,32.7,low,False
P000283,M0022,books,26.09,medium,False
P000284,M0022,books,16.89,low,False
P000285,M0022,books,11.4,low,False
P000286,M0022,books,15.63,low,False
P000287,M0022,books,16.89,medium,False
P000288,M0022,books,58.08,low,False
P000289,M0022,books,7.94,low,False
P000290,M0022,books,26.35,medium,False
P000291,M0022,books,75.89,low,False
P000292,M0022,books,21.34,low,False
P000293,M0022,books,32.1,low,False
P000294,M0022,books,29.54,low,False
P000295,M0023,books,23.27,low,False
P000296,M0023,books,27.85,low,False
P000297,M0023,books,50.41,low,False
P000298,M0023,books,30.01,high,False
P000299,M0023,books,2.75,low,False
P000300,M0023,books,32.67,low,False
P000301,M0023,books,55.83,medium,False
P000302,M0023,books,24.5,medium,False
P000303,M0023,books,26.54,low,False
P000304,M0023,books,24.01,high,False
P000305,M0023,books,15.72,low,False
P000306,M0023,books,20.7,medium,False
P000307,M0023,books,35.52,low,False
P000308,M0023,books,47.6,medium,False
P000309,M0023,books,32.02,high,False
P000310,M0023,books,28.15,medium,False
P000311,M0024,electronics,10.56,medium,False
P000312,M0024,electronics,35.25,low,False
P000313,M0024,electronics,41.36,high,False
P000314,M0024,electronics,53.99,low,False
P000315,M0024,electronics,38.86,low,False
P000316,M0024,electronics,40.22,medium,False
P000317,M0024,electronics,19.13,low,False
P000318,M0024,electronics,30.09,medium,False
P000319,M0024,electronics,38.62,low,False
P000320,M0024,electronics,58.29,medium,False
P000321,M0024,electronics,13.1,medium,False
P000322,M0024,electronics,20.82,low,False
P000323,M0024,electronics,30.08,high,False
P000324,M0024,electronics,35.51,medium,False
P000325,M0025,books,6.63,low,False
P000326,M0025,books,45.94,high,False
P000327,M0025,books,18.17,low,False
P000328,M0025,books,24.51,medium,False
P000329,M0025,books,39.78,medium,False
P000330,M0026,books,37.31,medium,False
P000331,M0026,books,14.65,high,False
P000332,M0026,books,13.83,high,False
P000333,M0026,books,21.71,medium,False
P000334,M0026,books,10.74,low,False
P000335,M0026,books,31.4,low,False
P000336,M0026,books,22.37,low,False
P000337,M0026,books,48.39,low,True
P000338,M0026,books,12.89,medium,False
P000339,M0026,books,23.42,medium,False
P000340,M0026,books,21.38,high,False
P000341,M0026,books,28.11,low,False
P000342,M0026,books,17.25,high,False
P000343,M0026,books,22.4,medium,False
P000344,M0026,books,26.21,medium,False
P000345,M0026,books,9.72,low,False
P000346,M0026,books,17.16,low,False
P000347,M0026,books,27.34,high,False
P000348,M0027,beauty,23.56,low,False
P000349,M0027,beauty,44.0,low,False
P000350,M0027,beauty,35.46,low,False
P000351,M0027,beauty,12.7,medium,False
P000352,M0027,beauty,15.23,low,False
P000353,M0027,beauty,59.89,medium,False
P000354,M0027,beauty,21.24,low,False
P000355,M0027,beauty,48.43,low,False
P000356,M0027,beauty,13.56,low,True
P000357,M0027,beauty,15.64,medium,True
P000358,M0027,beauty,20.86,medium,False
P000359,M0027,beauty,21.19,medium,False
P000360,M0027,beauty,20.95,medium,False
P000361,M0028,sports,53.15,low,False
P000362,M0028,sports,23.26,medium,False
P000363,M0028,sports,6.1,low,False
P000364,M0028,sports,24.75,low,False
P000365,M0028,sports,19.48,low,False
P000366,M0028,sports,27.4,high,False
P000367,M0028,sports,17.52,low,False
P000368,M0028,sports,24.55,high,False
P000369,M0028,sports,10.48,low,False
P000370,M0028,sports,21.06,medium,False
P000371,M0028,sports,14.64,medium,False
P000372,M0029,fashion,19.16,low,False
P000373,M0029,fashion,7.81,low,False
P000374,M0029,fashion,23.31,medium,False
P000375,M0029,fashion,26.82,low,False
P000376,M0029,fashion,11.11,low,False
P000377,M0029,fashion,35.86,low,False
P000378,M0029,fashion,20.29,medium,False
P000379,M0029,fashion,22.54,low,False
P000380,M0029,fashion,21.03,low,False
P000381,M0029,fashion,79.54,low,False
P000382,M0029,fashion,59.8,low,False
