customer_id,cluster_id,split
C0000087,C0000087,train
C0000088,C0005308,train
C0000089,C0000089,test
C0000090,C0000090,train
C0000091,C0000091,train
C0000092,C0000092,val
C0000093,C0002457,train
C0000094,C0000094,train
C0000095,C0000095,test
C0000096,C0002640,train
C0000097,C0005873,test
C0000098,C0004546,train
C0000099,C0000099,train
C0000100,C0000100,test
C0000101,C0001911,train
C0000102,C0000102,train
C0000103,C0000103,test
C0000104,C0005878,train
C0000105,C0000105,train
C0000106,C0000106,train
C0000107,C0000147,train
C0000108,C0000108,train
C0000109,C0000109,val
C0000110,C0000110,train
C0000111,C0000111,test
C0000112,C0000112,train
C0000113,C0000113,train
C0000114,C0004913,train
C0000115,C0000115,test
C0000116,C0000116,train
C0000117,C0003603,test
C0000118,C0000118,test
C0000119,C0000119,train
C0000120,C0000120,train
C0000121,C0000121,train
C0000122,C0000122,test
C0000123,C0000123,train
C0000124,C0000124,test
C0000125,C0000125,train
C0000126,C0000126,train
C0000127,C0000127,train
C0000128,C0000128,train
C0000129,C0000129,train
C0000130,C0000130,train
C0000131,C0000131,train
C0000132,C0000132,train
C0000133,C0000133,test
C0000134,C0003365,val
C0000135,C0000135,test
C0000136,C0001336,train
C0000137,C0005377,train
C0000138,C0000138,train
C0000139,C0000139,test
C0000140,C0004788,val
C0000141,C0000141,train
C0000142,C0000142,train
C0000143,C0000143,train
C0000144,C0000144,test
C0000145,C0000145,train
C0000146,C0003783,train
C0000147,C0000147,train
C0000148,C0000148,test
C0000149,C0000149,test
C0000150,C0000150,train
C0000151,C0005104,test
C0000152,C0000152,train
C0000153,C0005176,train
C0000154,C0003648,train
C0000155,C0000155,train
C0000156,C0000156,train
C0000157,C0005248,test
C0000158,C0000158,train
C0000159,C0000159,val
C0000160,C0004755,val
C0000161,C0000161,train
C0000162,C0000162,val
C0000163,C0000163,train
C0000164,C0000164,train
C0000165,C0001456,train
C0000166,C0000166,train
C0000167,C0000167,train
C0000168,C0000168,train
C0000169,C0005873,test
C0000170,C0000170,test
C0000171,C0003451,train
C0000172,C0000172,train
C0000173,C0004663,train
C0000174,C0000174,val
C0000175,C0003254,test
C0000176,C0002066,test
C0000177,C0000177,train
C0000178,C0000178,train
C0000179,C0000179,test
C0000180,C0000180,train
C0000181,C0003418,train
C0000182,C0000182,test
C0000183,C0002763,test
C0000184,C0000184,train
C0000185,C0000185,test
C0000186,C0000186,train
C0000187,C0000187,test
C0000188,C0000188,test
C0000189,C0000189,train
C0000190,C0000190,val
C0000191,C0003765,val
C0000192,C0000192,val
C0000193,C0001413,train
C0000194,C0000194,train
C0000195,C0000195,val
C0000196,C0000196,train
C0000197,C0000197,train
C0000198,C0001797,train
C0000199,C0000199,train
C0000200,C0000200,train
C0000201,C0004511,val
C0000202,C0005784,train
C0000203,C0000203,train
C0000204,C0000204,train
C0000205,C0000205,train
C0000206,C0000206,train
C0000207,C0000207,train
C0000208,C0000208,train
C0000209,C0004090,train
C0000210,C0000210,train
C0000211,C0000211,train
C0000212,C0000212,train
C0000213,C0002817,train
C0000214,C0000214,train
C0000215,C0000215,train
C0000216,C0004524,train
C0000217,C0000217,train
C0000218,C0000218,train
C0000219,C0000219,train
C0000220,C0000220,train
C0000221,C0003092,train
C0000222,C0000222,train
C0000223,C0004895,train
C0000224,C0000224,train
C0000225,C0000225,train
C0000226,C0000226,train
C0000227,C0000227,test
C0000228,C0000228,train
C0000229,C0000229,train
C0000230,C0000230,test
C0000231,C0000231,train
C0000232,C0000232,train
C0000233,C0003892,train
C0000234,C0000234,train
C0000235,C0000235,train
C0000236,C0000236,train
C0000237,C0000237,train
C0000238,C0000238,test
C0000239,C0000239,train
C0000240,C0000240,test
C0000241,C0000241,train
C0000242,C0000242,train
C0000243,C0000243,train
C0000244,C0000244,train
C0000245,C0000245,train
C0000246,C0000246,test
C0000247,C0000247,train
C0000248,C0000248,test
C0000249,C0005018,test
C0000250,C0000250,train
C0000251,C0003254,test
C0000252,C0000252,val
C0000253,C0000253,train
C0000254,C0003418,train
C0000255,C0000255,train
C0000256,C0000256,train
C0000257,C0000257,test
C0000258,C0000258,train
C0000259,C0005369,test
C0000260,C0000260,train
C0000261,C0000261,train
C0000262,C0000262,val
C0000263,C0000263,val
C0000264,C0005196,train
C0000265,C0000265,train
C0000266,C0000266,train
C0000267,C0004691,train
C0000268,C0000268,train
C0000269,C0000269,train
C0000270,C0000270,val
C0000271,C0000271,test
C0000272,C0000272,train
C0000273,C0000273,val
C0000274,C0000274,train
C0000275,C0000275,train
C0000276,C0005168,test
C0000277,C0005792,train
C0000278,C0000278,test
C0000279,C0000279,train
C0000280,C0002640,train
C0000281,C0000281,train
C0000282,C0000282,train
C0000283,C0000283,train
C0000284,C0000284,train
C0000285,C0005531,test
C0000286,C0000286,train
C0000287,C0005222,train
C0000288,C0000288,train
C0000289,C0000289,train
C0000290,C0000290,train
C0000291,C0000291,val
C0000292,C0000292,train
C0000293,C0000293,train
C0000294,C0000294,val
C0000295,C0000295,val
C0000296,C0000296,test
C0000297,C0000297,train
C0000298,C0000298,test
C0000299,C0005759,train
C0000300,C0000300,val
C0000301,C0003567,train
C0000302,C0000302,train
C0000303,C0004691,train
C0000304,C0000304,test
C0000305,C0000305,train
C0000306,C0000306,val
C0000307,C0000307,train
C0000308,C0000308,train
C0000309,C0000309,train
C0000310,C0000310,train
C0000311,C0000311,train
C0000312,C0000312,train
C0000313,C0000313,train
C0000314,C0000314,train
C0000315,C0000315,train
C0000316,C0000316,test
C0000317,C0000317,train
C0000318,C0000318,train
C0000319,C0004438,train
C0000320,C0000320,train
C0000321,C0000321,train
C0000322,C0005140,train
C0000323,C0003305,train
C0000324,C0000324,train
C0000325,C0005446,train
C0000326,C0002715,train
C0000327,C0004645,train
C0000328,C0000328,train
C0000329,C0000329,train
C0000330,C0000330,train
C0000331,C0000331,train
C0000332,C0000332,train
C0000333,C0000333,test
C0000334,C0000334,test
C0000335,C0000335,train
C0000336,C0005478,test
C0000337,C0000337,train
C0000338,C0000338,train
C0000339,C0000339,train
C0000340,C0005140,train
C0000341,C0002981,test
C0000342,C0004972,train
C0000343,C0004837,test
C0000344,C0000344,train
C0000345,C0000345,train
C0000346,C0000346,test
C0000347,C0000347,train
C0000348,C0005690,train
C0000349,C0000349,train
C0000350,C0000350,train
C0000351,C0000351,test
C0000352,C0000352,test
C0000353,C0000353,train
C0000354,C0000354,train
C0000355,C0005601,train
C0000356,C0000356,test
C0000357,C0002245,val
C0000358,C0000358,train
C0000359,C0000359,train
C0000360,C0000360,train
C0000361,C0002536,train
C0000362,C0000362,train
C0000363,C0002786,train
C0000364,C0000364,train
C0000365,C0000365,train
C0000366,C0005478,test
C0000367,C0000367,val
C0000368,C0000368,train
C0000369,C0000369,train
C0000370,C0000370,val
C0000371,C0000371,train
C0000372,C0000372,train
C0000373,C0000373,train
C0000374,C0000374,train
C0000375,C0004852,train
C0000376,C0000376,test
C0000377,C0004865,val
C0000378,C0000378,train
C0000379,C0000379,train
C0000380,C0000380,train
C0000381,C0001524,train
C0000382,C0000382,test
C0000383,C0000383,train
C0000384,C0000384,val
C0000385,C0004927,train
C0000386,C0000386,train
C0000387,C0000387,train
C0000388,C0002763,test
C0000389,C0000389,train
C0000390,C0000390,train
C0000391,C0000391,test
C0000392,C0000392,val
C0000393,C0000393,train
C0000394,C0005308,train
C0000395,C0000395,test
C0000396,C0000396,train
C0000397,C0003681,train
C0000398,C0000398,test
C0000399,C0000399,train
C0000400,C0004045,test
C0000401,C0000401,train
C0000402,C0004503,train
C0000403,C0000403,test
C0000404,C0000404,train
C0000405,C0000405,val
C0000406,C0000406,train
C0000407,C0000407,train
C0000408,C0000408,train
C0000409,C0000409,test
C0000410,C0000410,train
C0000411,C0003783,train
C0000412,C0004972,train
C0000413,C0000413,test
C0000414,C0000414,train
C0000415,C0000415,train
C0000416,C0000416,val
C0000417,C0003126,train
C0000418,C0000418,test
C0000419,C0000419,train
C0000420,C0004584,train
C0000421,C0000421,train
C0000422,C0000422,test
C0000423,C0000423,val
C0000424,C0000424,train
C0000425,C0000425,train
C0000426,C0000426,train
C0000427,C0004737,train
C0000428,C0005567,train
C0000429,C0001261,val
C0000430,C0000430,train
C0000431,C0000431,val
C0000432,C0004533,train
C0000433,C0000433,train
C0000434,C0000434,train
C0000435,C0000435,train
C0000436,C0000436,test
C0000437,C0000437,train
C0000438,C0003079,train
C0000439,C0003498,val
C0000440,C0000440,train
C0000441,C0005315,train
C0000442,C0000442,test
C0000443,C0000443,train
C0000444,C0000865,train
C0000445,C0000445,train
C0000446,C0000446,train
C0000447,C0000447,train
C0000448,C0000448,train
C0000449,C0000449,train
C0000450,C0000450,train
C0000451,C0000451,train
C0000452,C0000452,val
C0000453,C0000453,train
C0000454,C0000454,train
C0000455,C0000455,train
C0000456,C0000456,test
C0000457,C0000457,val
C0000458,C0000458,train
C0000459,C0000459,train
C0000460,C0000460,test
C0000461,C0005601,train
C0000462,C0003765,val
C0000463,C0003783,train
C0000464,C0004327,train
C0000465,C0000465,train
C0000466,C0000466,train
C0000467,C0000467,train
C0000468,C0005231,test
C0000469,C0000469,train
C0000470,C0000470,train
C0000471,C0001261,val
C0000472,C0000472,train
C0000473,C0005559,train
C0000474,C0000474,val
C0000475,C0000475,test
C0000476,C0005552,train
C0000477,C0000477,train
C0000478,C0000478,val
C0000479,C0000479,val
C0000480,C0000480,train
C0000481,C0000481,train
C0000482,C0002817,train
C0000483,C0000483,test
C0000484,C0000484,train
C0000485,C0000485,train
C0000486,C0000486,train
C0000487,C0000487,train
C0000488,C0000488,test
C0000489,C0000489,train
C0000490,C0003603,test
C0000491,C0000491,train
C0000492,C0000492,train
C0000493,C0001149,train
C0000494,C0000494,train
C0000495,C0000495,train
C0000496,C0000496,train
C0000497,C0003286,test
C0000498,C0000498,train
C0000499,C0004452,test
C0000500,C0000500,test
C0000501,C0000501,test
C0000502,C0000502,test
C0000503,C0000503,train
C0000504,C0000504,val
C0000505,C0000505,train
C0000506,C0005941,train
C0000507,C0005555,train
C0000508,C0000508,train
C0000509,C0000509,val
C0000510,C0000510,train
C0000511,C0000511,val
C0000512,C0000512,train
C0000513,C0000513,train
C0000514,C0000514,train
C0000515,C0002536,train
C0000516,C0005140,train
C0000517,C0000517,train
C0000518,C0000518,val
C0000519,C0000519,train
C0000520,C0004438,train
C0000521,C0003092,train
C0000522,C0001852,train
C0000523,C0000523,test
C0000524,C0000524,test
C0000525,C0000525,test
C0000526,C0000526,train
C0000527,C0000527,test
C0000528,C0000528,train
C0000529,C0005420,test
C0000530,C0000530,train
C0000531,C0000531,train
C0000532,C0005843,test
C0000533,C0000533,train
C0000534,C0000534,test
C0000535,C0000535,test
C0000536,C0002536,train
C0000537,C0000537,train
C0000538,C0000538,test
C0000539,C0000539,train
C0000540,C0000540,train
C0000541,C0000541,train
C0000542,C0000542,train
C0000543,C0000543,test
C0000544,C0000544,train
C0000545,C0000545,train
C0000546,C0000546,test
C0000547,C0000547,train
C0000548,C0002305,train
C0000549,C0000549,train
C0000550,C0000550,train
C0000551,C0000551,train
C0000552,C0000552,train
C0000553,C0004049,train
C0000554,C0000554,train
C0000555,C0000555,train
C0000556,C0000556,train
C0000557,C0003545,train
C0000558,C0000558,train
C0000559,C0000559,train
C0000560,C0000560,test
C0000561,C0000561,train
C0000562,C0000562,train
C0000563,C0000563,train
C0000564,C0000564,test
C0000565,C0000565,train
C0000566,C0000566,train
C0000567,C0000567,train
C0000568,C0000568,test
C0000569,C0000569,train
C0000570,C0000570,test
C0000571,C0000571,train
C0000572,C0000572,train
C0000573,C0000573,train
C0000574,C0000574,train
C0000575,C0000575,train
C0000576,C0000576,train
C0000577,C0004953,train
C0000578,C0000578,val
C0000579,C0000579,val
C0000580,C0000580,train
C0000581,C0000581,train
C0000582,C0000582,train
C0000583,C0005420,test
C0000584,C0000584,train
C0000585,C0000585,test
C0000586,C0000586,train
C0000587,C0005218,train
C0000588,C0000588,test
C0000589,C0000589,train
C0000590,C0000590,train
C0000591,C0005151,train
C0000592,C0000592,train
C0000593,C0000593,test
C0000594,C0002786,train
C0000595,C0000595,train
C0000596,C0000596,train
C0000597,C0000597,train
C0000598,C0000598,test
C0000599,C0000599,val
C0000600,C0000600,train
C0000601,C0000601,train
C0000602,C0000602,train
C0000603,C0000603,train
C0000604,C0000604,train
C0000605,C0000605,train
C0000606,C0002715,train
C0000607,C0000607,val
C0000608,C0000608,train
C0000609,C0000609,test
C0000610,C0000610,test
C0000611,C0000611,train
C0000612,C0000612,train
C0000613,C0000613,test
C0000614,C0003545,train
C0000615,C0000615,train
C0000616,C0000616,train
C0000617,C0003801,train
C0000618,C0001149,train
C0000619,C0000619,train
C0000620,C0000620,train
C0000621,C0000621,test
C0000622,C0000622,train
C0000623,C0000623,val
C0000624,C0005659,train
C0000625,C0001253,train
C0000626,C0000626,train
C0000627,C0000627,train
C0000628,C0005369,test
C0000629,C0003576,train
C0000630,C0000630,train
C0000631,C0000631,test
C0000632,C0005315,train
C0000633,C0000633,test
C0000634,C0000634,train
C0000635,C0000799,train
C0000636,C0005802,train
C0000637,C0000637,test
C0000638,C0003271,train
C0000639,C0000639,train
C0000640,C0000640,test
C0000641,C0000641,train
C0000642,C0000642,train
C0000643,C0000643,train
C0000644,C0000644,train
C0000645,C0000645,train
C0000646,C0000646,val
C0000647,C0000647,train
C0000648,C0000648,val
C0000649,C0000649,train
C0000650,C0000650,train
C0000651,C0002245,val
C0000652,C0000652,train
C0000653,C0000653,val
C0000654,C0000654,val
C0000655,C0000655,train
C0000656,C0000656,val
C0000657,C0000657,train
C0000658,C0000658,train
C0000659,C0000659,train
C0000660,C0000660,train
C0000661,C0000661,test
C0000662,C0000662,test
C0000663,C0000663,test
C0000664,C0000664,train
C0000665,C0005668,train
C0000666,C0000666,test
C0000667,C0000667,test
C0000668,C0000668,train
C0000669,C0000669,test
C0000670,C0000670,train
C0000671,C0002348,test
C0000672,C0005232,train
C0000673,C0000673,train
C0000674,C0000674,train
C0000675,C0005958,train
C0000676,C0000676,val
C0000677,C0000677,train
C0000678,C0000678,train
C0000679,C0000679,train
C0000680,C0004525,test
C0000681,C0000681,test
C0000682,C0003079,train
C0000683,C0000683,train
C0000684,C0000684,train
C0000685,C0000685,train
C0000686,C0000686,test
C0000687,C0000687,train
C0000688,C0000688,train
C0000689,C0000689,train
C0000690,C0000690,train
C0000691,C0000691,train
C0000692,C0000692,train
C0000693,C0000693,train
C0000694,C0000694,train
C0000695,C0000695,test
C0000696,C0005977,train
C0000697,C0000697,train
C0000698,C0000698,train
C0000699,C0000699,train
C0000700,C0000700,train
C0000701,C0000701,val
C0000702,C0000702,train
C0000703,C0000703,val
C0000704,C0000704,train
C0000705,C0000705,train
C0000706,C0000706,train
C0000707,C0004030,train
C0000708,C0005601,train
C0000709,C0000709,train
C0000710,C0002140,train
C0000711,C0000711,train
C0000712,C0003576,train
C0000713,C0005784,train
C0000714,C0000714,train
C0000715,C0000715,train
C0000716,C0005601,train
C0000717,C0004438,train
C0000718,C0003372,train
C0000719,C0000719,test
C0000720,C0000720,test
C0000721,C0002305,train
C0000722,C0000722,train
C0000723,C0000723,train
C0000724,C0000724,test
C0000725,C0000725,train
C0000726,C0000726,train
C0000727,C0000727,test
C0000728,C0000728,test
C0000729,C0000729,train
C0000730,C0004584,train
C0000731,C0000731,val
C0000732,C0000732,test
C0000733,C0000733,train
C0000734,C0004524,train
C0000735,C0003591,train
C0000736,C0000736,train
C0000737,C0000737,test
C0000738,C0000738,train
C0000739,C0000739,train
C0000740,C0003126,train
C0000741,C0000741,train
C0000742,C0000742,train
C0000743,C0002487,test
C0000744,C0000744,val
C0000745,C0005960,train
C0000746,C0000746,train
C0000747,C0000747,train
C0000748,C0004799,test
C0000749,C0000749,train
C0000750,C0000750,train
C0000751,C0000751,train
C0000752,C0000752,train
C0000753,C0000753,test
C0000754,C0000754,train
C0000755,C0000755,val
C0000756,C0000756,test
C0000757,C0000757,val
C0000758,C0000758,train
C0000759,C0000759,test
C0000760,C0000760,val
C0000761,C0005792,train
C0000762,C0000762,test
C0000763,C0005877,train
C0000764,C0000764,train
C0000765,C0005830,train
C0000766,C0000766,train
C0000767,C0000767,test
C0000768,C0003286,test
C0000769,C0000769,train
C0000770,C0000770,train
C0000771,C0000771,train
C0000772,C0000772,train
C0000773,C0000773,train
C0000774,C0000774,train
C0000775,C0000775,val
C0000776,C0000776,test
C0000777,C0000777,test
C0000778,C0000778,train
C0000779,C0000779,train
C0000780,C0000780,train
C0000781,C0000781,test
C0000782,C0000782,val
C0000783,C0000783,train
C0000784,C0000784,train
C0000785,C0000785,train
C0000786,C0000786,test
C0000787,C0000787,train
C0000788,C0000788,train
C0000789,C0003801,train
C0000790,C0000790,train
C0000791,C0000791,train
C0000792,C0000792,val
C0000793,C0000793,train
C0000794,C0000794,train
C0000795,C0000795,train
C0000796,C0000796,train
C0000797,C0000797,train
C0000798,C0005218,train
C0000799,C0000799,train
C0000800,C0000800,train
C0000801,C0000801,train
C0000802,C0000802,test
C0000803,C0000803,train
C0000804,C0000804,train
C0000805,C0000805,train
C0000806,C0002475,train
C0000807,C0005915,train
C0000808,C0000808,test
C0000809,C0000809,train
C0000810,C0000810,test
C0000811,C0000811,train
C0000812,C0000812,train
C0000813,C0000813,train
C0000814,C0000814,train
C0000815,C0000815,train
C0000816,C0002190,test
C0000817,C0000817,test
C0000818,C0000818,train
C0000819,C0004512,train
C0000820,C0000820,train
C0000821,C0000821,train
C0000822,C0000822,train
C0000823,C0005624,train
C0000824,C0000824,train
C0000825,C0000825,train
C0000826,C0000826,train
C0000827,C0000827,train
C0000828,C0001149,train
C0000829,C0000829,train
C0000830,C0005231,test
C0000831,C0000831,train
C0000832,C0000832,train
C0000833,C0003817,test
C0000834,C0000834,train
C0000835,C0000835,train
C0000836,C0001911,train
C0000837,C0000837,train
C0000838,C0000838,train
C0000839,C0005714,train
C0000840,C0000840,train
C0000841,C0000841,train
C0000842,C0000842,test
C0000843,C0000843,train
C0000844,C0000844,train
C0000845,C0000845,train
C0000846,C0000846,train
C0000847,C0000847,test
C0000848,C0000848,train
C0000849,C0000849,train
C0000850,C0000850,train
C0000851,C0000851,train
C0000852,C0000852,train
C0000853,C0000853,train
C0000854,C0003035,train
C0000855,C0000855,test
C0000856,C0000856,test
C0000857,C0005802,train
C0000858,C0000858,val
C0000859,C0000859,val
C0000860,C0000860,train
C0000861,C0000861,val
C0000862,C0000862,train
C0000863,C0000863,train
C0000864,C0000864,train
C0000865,C0000865,train
C0000866,C0002640,train
C0000867,C0000867,train
C0000868,C0002587,train
C0000869,C0000869,train
C0000870,C0003365,val
C0000871,C0000871,train
C0000872,C0000872,train
C0000873,C0000873,train
C0000874,C0000874,train
C0000875,C0000875,test
C0000876,C0000876,train
C0000877,C0000877,train
C0000878,C0005342,train
C0000879,C0000879,train
C0000880,C0000880,train
C0000881,C0000881,train
C0000882,C0000882,train
C0000883,C0000883,train
C0000884,C0000884,train
C0000885,C0000885,train
C0000886,C0000886,test
C0000887,C0000887,train
C0000888,C0000888,train
C0000889,C0000889,test
C0000890,C0000890,train
C0000891,C0000891,test
C0000892,C0000892,train
C0000893,C0000893,test
C0000894,C0000894,test
C0000895,C0005235,train
C0000896,C0005690,train
C0000897,C0000897,train
C0000898,C0000898,test
C0000899,C0000899,test
C0000900,C0000900,test
C0000901,C0000901,train
C0000902,C0005232,train
C0000903,C0000903,train
C0000904,C0000904,val
C0000905,C0000905,train
C0000906,C0005977,train
C0000907,C0000907,train
C0000908,C0005377,train
C0000909,C0000909,train
C0000910,C0004419,train
C0000911,C0000911,test
C0000912,C0000912,test
C0000913,C0000913,train
C0000914,C0000914,train
C0000915,C0003710,train
C0000916,C0000916,train
C0000917,C0000917,train
C0000918,C0005356,val
C0000919,C0000919,train
C0000920,C0000920,train
C0000921,C0000921,train
C0000922,C0000922,train
C0000923,C0000923,train
C0000924,C0000924,train
C0000925,C0000925,test
C0000926,C0000926,train
C0000927,C0005319,train
C0000928,C0000928,train
C0000929,C0005552,train
C0000930,C0000930,val
C0000931,C0000931,val
C0000932,C0000932,test
C0000933,C0000933,train
C0000934,C0000934,train
C0000935,C0000935,test
C0000936,C0000936,train
C0000937,C0000937,train
C0000938,C0000938,train
C0000939,C0000939,train
C0000940,C0004913,train
C0000941,C0000941,test
C0000942,C0002066,test
C0000943,C0000943,train
C0000944,C0000944,val
C0000945,C0005343,train
C0000946,C0000946,train
C0000947,C0000947,train
C0000948,C0000948,test
C0000949,C0002817,train
C0000950,C0000950,train
C0000951,C0000951,val
C0000952,C0004475,train
C0000953,C0000953,train
C0000954,C0000954,train
C0000955,C0004354,train
C0000956,C0000956,train
C0000957,C0000957,test
C0000958,C0005801,train
C0000959,C0000959,train
C0000960,C0000960,val
C0000961,C0000961,test
C0000962,C0000962,train
C0000963,C0000963,test
C0000964,C0004755,val
C0000965,C0002874,val
C0000966,C0000966,train
C0000967,C0000967,train
C0000968,C0000968,val
C0000969,C0000969,train
C0000970,C0000970,train
C0000971,C0000971,train
C0000972,C0000972,train
C0000973,C0000973,train
C0000974,C0000974,test
C0000975,C0004618,train
C0000976,C0000976,train
C0000977,C0004797,train
C0000978,C0000978,train
C0000979,C0000979,test
C0000980,C0003214,val
C0000981,C0005050,train
C0000982,C0000982,train
C0000983,C0000983,train
C0000984,C0000984,train
C0000985,C0000985,train
C0000986,C0000986,test
C0000987,C0005891,train
C0000988,C0000988,train
C0000989,C0003933,train
C0000990,C0000990,test
C0000991,C0000991,test
C0000992,C0000992,train
C0000993,C0000993,test
C0000994,C0000994,train
C0000995,C0000995,train
C0000996,C0004498,val
C0000997,C0001985,val
C0000998,C0005315,train
C0000999,C0000999,train
C0001000,C0001000,train
C0001001,C0001001,train
C0001002,C0001002,train
C0001003,C0001003,train
C0001004,C0001004,train
C0001005,C0001005,train
C0001006,C0001006,train
C0001007,C0001007,train
C0001008,C0001008,val
C0001009,C0001009,train
C0001010,C0001010,val
C0001011,C0001011,train
C0001012,C0001012,train
C0001013,C0001013,train
C0001014,C0001014,train
C0001015,C0001015,train
C0001016,C0001016,train
C0001017,C0005151,train
C0001018,C0001018,train
C0001019,C0004069,test
C0001020,C0003765,val
C0001021,C0001021,train
C0001022,C0001022,train
C0001023,C0001023,train
C0001024,C0003892,train
C0001025,C0001025,test
C0001026,C0001026,train
C0001027,C0001027,train
C0001028,C0001028,test
C0001029,C0001029,train
C0001030,C0001030,train
C0001031,C0003271,train
C0001032,C0003801,train
C0001033,C0001033,val
C0001034,C0001034,train
C0001035,C0001035,train
C0001036,C0004380,train
C0001037,C0005446,train
C0001038,C0001038,train
C0001039,C0001039,train
C0001040,C0001040,train
C0001041,C0005678,train
C0001042,C0001042,test
C0001043,C0001043,test
C0001044,C0001044,train
C0001045,C0001045,train
C0001046,C0001046,test
C0001047,C0001047,train
C0001048,C0001048,test
C0001049,C0004380,train
C0001050,C0001050,train
C0001051,C0001051,train
C0001052,C0001052,train
C0001053,C0003214,val
C0001054,C0001054,train
C0001055,C0001055,train
C0001056,C0001056,train
C0001057,C0001057,train
C0001058,C0001058,train
C0001059,C0001059,train
C0001060,C0001060,train
C0001061,C0001061,train
C0001062,C0001062,train
C0001063,C0003545,train
C0001064,C0001064,train
C0001065,C0001065,train
C0001066,C0001066,train
C0001067,C0001067,test
C0001068,C0001068,train
C0001069,C0001069,train
C0001070,C0001070,train
C0001071,C0001071,train
C0001072,C0005162,train
C0001073,C0004419,train
C0001074,C0001074,train
C0001075,C0001075,train
C0001076,C0001076,train
C0001077,C0001077,test
C0001078,C0001078,train
C0001079,C0001079,train
C0001080,C0001080,test
C0001081,C0001081,train
C0001082,C0001413,train
C0001083,C0001083,train
C0001084,C0001084,train
C0001085,C0001085,test
C0001086,C0001086,train
C0001087,C0001087,test
C0001088,C0001524,train
C0001089,C0001089,val
C0001090,C0001090,train
C0001091,C0001091,train
C0001092,C0001092,train
C0001093,C0001093,train
C0001094,C0001094,test
C0001095,C0003418,train
C0001096,C0001096,train
C0001097,C0001097,train
C0001098,C0001098,train
C0001099,C0005877,train
C0001100,C0001100,val
C0001101,C0001101,train
C0001102,C0001102,test
C0001103,C0001103,train
C0001104,C0001104,val
C0001105,C0004949,train
C0001106,C0001106,train
C0001107,C0004666,train
C0001108,C0001108,train
C0001109,C0004927,train
C0001110,C0004461,train
C0001111,C0001111,train
C0001112,C0001112,test
C0001113,C0001113,test
C0001114,C0005319,train
C0001115,C0001115,train
C0001116,C0001116,train
C0001117,C0001117,train
C0001118,C0001118,train
C0001119,C0001119,test
C0001120,C0001120,test
C0001121,C0005648,train
C0001122,C0001122,train
C0001123,C0004584,train
C0001124,C0001124,test
C0001125,C0001125,train
C0001126,C0005761,test
C0001127,C0001127,test
C0001128,C0001128,train
C0001129,C0001129,train
C0001130,C0001130,test
C0001131,C0001131,test
C0001132,C0001132,train
C0001133,C0001133,train
C0001134,C0001134,val
C0001135,C0001135,val
C0001136,C0001136,val
C0001137,C0001137,train
C0001138,C0001138,train
C0001139,C0005960,train
C0001140,C0001140,train
C0001141,C0001141,test
C0001142,C0001142,train
C0001143,C0002505,test
C0001144,C0001144,train
C0001145,C0001145,test
C0001146,C0001146,train
C0001147,C0001147,test
C0001148,C0003583,train
C0001149,C0001149,train
C0001150,C0001150,train
C0001151,C0003271,train
C0001152,C0001152,train
C0001153,C0001153,test
C0001154,C0001154,train
C0001155,C0001155,train
C0001156,C0001156,train
C0001157,C0001157,train
C0001158,C0002066,test
C0001159,C0001159,val
C0001160,C0001160,train
C0001161,C0001161,train
C0001162,C0001162,train
C0001163,C0001163,train
